AbilityID,Name,Trigger,PowerA,CooldownSec,Target,Description,Tag,DesignerNote
AB_ESCAPE_PEN_01,逃逸惩罚·01,OnEscape,0.12,1,Enemy/Map,玩家失去生命或连击,TAG_0,可被Boss/精英/传奇鼠共用能力 1
AB_CHAIN_SPARK_02,电花传导·02,OnHit,0.15,1.5,Enemy/Map,向邻洞传播伤害,TAG_1,可被Boss/精英/传奇鼠共用能力 2
AB_SPLIT_DEATH_03,裂变繁殖·03,OnDeath,0.18,2,Enemy/Map,死亡后分裂,TAG_2,可被Boss/精英/传奇鼠共用能力 3
AB_BOMB_DEATH_04,炸裂身亡·04,OnDeath,0.21,2.5,Enemy/Map,死亡爆炸,TAG_3,可被Boss/精英/传奇鼠共用能力 4
AB_STEAL_GOLD_05,偷金·05,Periodic,0.24,1,Enemy/Map,偷取当前金币的一小部分,TAG_4,可被Boss/精英/传奇鼠共用能力 5
AB_CALL_HELP_06,呼叫支援·06,Periodic,0.12,1.5,Enemy/Map,召唤普通鼠,TAG_5,可被Boss/精英/传奇鼠共用能力 6
AB_PHASE_SHIFT_07,相位换洞·07,Periodic,0.15,2,Enemy/Map,Boss在洞口间转移,TAG_0,可被Boss/精英/传奇鼠共用能力 7
AB_GLOBAL_HASTE_08,全图加速·08,Aura,0.18,2.5,Enemy/Map,提高全图刷新速率,TAG_1,可被Boss/精英/传奇鼠共用能力 8
AB_ESCAPE_PEN_09,逃逸惩罚·09,OnEscape,0.21,1,Enemy/Map,玩家失去生命或连击,TAG_2,可被Boss/精英/传奇鼠共用能力 9
AB_CHAIN_SPARK_10,电花传导·10,OnHit,0.24,1.5,Enemy/Map,向邻洞传播伤害,TAG_3,可被Boss/精英/传奇鼠共用能力 10
AB_SPLIT_DEATH_11,裂变繁殖·11,OnDeath,0.12,2,Enemy/Map,死亡后分裂,TAG_4,可被Boss/精英/传奇鼠共用能力 11
AB_BOMB_DEATH_12,炸裂身亡·12,OnDeath,0.15,2.5,Enemy/Map,死亡爆炸,TAG_5,可被Boss/精英/传奇鼠共用能力 12
