EnumType,Code,DisplayName,Meaning,Example,ProgramRule,DesignerNote,Reserved
Rarity,Common,Common,品质枚举,Rare,程序可转int序,用于掉落、技能、武器、Boss,
Rarity,Uncommon,Uncommon,品质枚举,Rare,程序可转int序,用于掉落、技能、武器、Boss,
Rarity,Rare,Rare,品质枚举,Rare,程序可转int序,用于掉落、技能、武器、Boss,
Rarity,Epic,Epic,品质枚举,Rare,程序可转int序,用于掉落、技能、武器、Boss,
Rarity,Legendary,Legendary,品质枚举,Rare,程序可转int序,用于掉落、技能、武器、Boss,
WeaponType,Hammer,Hammer,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Chain,Chain,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Wave,Wave,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Drone,Drone,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Totem,Totem,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Trap,Trap,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Laser,Laser,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Orbital,Orbital,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Beam,Beam,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
WeaponType,Summon,Summon,武器类型,Hammer,用于表现和逻辑分流,增加新类型时同步资源层,
DamageType,Blunt,Blunt,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Shock,Shock,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Fire,Fire,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Frost,Frost,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Arcane,Arcane,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Explosive,Explosive,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,True,True,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Poison,Poison,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
DamageType,Gold,Gold,伤害类型,Shock,用于状态和抗性,尽量复用，不滥加新类型,
Trigger,OnHit,OnHit,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnKill,OnKill,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnCrit,OnCrit,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,Periodic,Periodic,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnSpawn,OnSpawn,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnEscape,OnEscape,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnCombo,OnCombo,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,OnGoldGain,OnGoldGain,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,Aura,Aura,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Trigger,Manual,Manual,触发时机,OnHit,事件驱动,同一技能尽量只用一个主Trigger,
Status,Stun,Stun,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Shock,Shock,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Burn,Burn,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Freeze,Freeze,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Bleed,Bleed,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Weaken,Weaken,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Expose,Expose,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,GreedMark,GreedMark,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,ExecuteMark,ExecuteMark,状态类型,Burn,状态机读取,与StatusEffects表联动,
Status,Slow,Slow,状态类型,Burn,状态机读取,与StatusEffects表联动,
