LocKey,ZH_CN,EN_US,Context,SourceRef
LOC_ROLE_001,示例文本 ROLE 001,EN Sample ROLE 001,UI/Game,ROLE:1
LOC_ROLE_002,示例文本 ROLE 002,EN Sample ROLE 002,UI/Game,ROLE:2
LOC_ROLE_003,示例文本 ROLE 003,EN Sample ROLE 003,UI/Game,ROLE:3
LOC_ROLE_004,示例文本 ROLE 004,EN Sample ROLE 004,UI/Game,ROLE:4
LOC_ROLE_005,示例文本 ROLE 005,EN Sample ROLE 005,UI/Game,ROLE:5
LOC_ROLE_006,示例文本 ROLE 006,EN Sample ROLE 006,UI/Game,ROLE:6
LOC_ROLE_007,示例文本 ROLE 007,EN Sample ROLE 007,UI/Game,ROLE:7
LOC_ROLE_008,示例文本 ROLE 008,EN Sample ROLE 008,UI/Game,ROLE:8
LOC_WPN_001,示例文本 WPN 001,EN Sample WPN 001,UI/Game,WPN:1
LOC_WPN_002,示例文本 WPN 002,EN Sample WPN 002,UI/Game,WPN:2
LOC_WPN_003,示例文本 WPN 003,EN Sample WPN 003,UI/Game,WPN:3
LOC_WPN_004,示例文本 WPN 004,EN Sample WPN 004,UI/Game,WPN:4
LOC_WPN_005,示例文本 WPN 005,EN Sample WPN 005,UI/Game,WPN:5
LOC_WPN_006,示例文本 WPN 006,EN Sample WPN 006,UI/Game,WPN:6
LOC_WPN_007,示例文本 WPN 007,EN Sample WPN 007,UI/Game,WPN:7
LOC_WPN_008,示例文本 WPN 008,EN Sample WPN 008,UI/Game,WPN:8
LOC_WPN_009,示例文本 WPN 009,EN Sample WPN 009,UI/Game,WPN:9
LOC_WPN_010,示例文本 WPN 010,EN Sample WPN 010,UI/Game,WPN:10
LOC_WPN_011,示例文本 WPN 011,EN Sample WPN 011,UI/Game,WPN:11
LOC_WPN_012,示例文本 WPN 012,EN Sample WPN 012,UI/Game,WPN:12
LOC_WPN_013,示例文本 WPN 013,EN Sample WPN 013,UI/Game,WPN:13
LOC_WPN_014,示例文本 WPN 014,EN Sample WPN 014,UI/Game,WPN:14
LOC_WPN_015,示例文本 WPN 015,EN Sample WPN 015,UI/Game,WPN:15
LOC_WPN_016,示例文本 WPN 016,EN Sample WPN 016,UI/Game,WPN:16
LOC_WPN_017,示例文本 WPN 017,EN Sample WPN 017,UI/Game,WPN:17
LOC_WPN_018,示例文本 WPN 018,EN Sample WPN 018,UI/Game,WPN:18
LOC_WPN_019,示例文本 WPN 019,EN Sample WPN 019,UI/Game,WPN:19
LOC_WPN_020,示例文本 WPN 020,EN Sample WPN 020,UI/Game,WPN:20
LOC_WPN_021,示例文本 WPN 021,EN Sample WPN 021,UI/Game,WPN:21
LOC_WPN_022,示例文本 WPN 022,EN Sample WPN 022,UI/Game,WPN:22
LOC_WPN_023,示例文本 WPN 023,EN Sample WPN 023,UI/Game,WPN:23
LOC_WPN_024,示例文本 WPN 024,EN Sample WPN 024,UI/Game,WPN:24
LOC_WPN_025,示例文本 WPN 025,EN Sample WPN 025,UI/Game,WPN:25
LOC_WPN_026,示例文本 WPN 026,EN Sample WPN 026,UI/Game,WPN:26
LOC_WPN_027,示例文本 WPN 027,EN Sample WPN 027,UI/Game,WPN:27
