CurveID,MapID,TimeSec,Phase,ThreatBudget,SpawnInterval,RareRate,EliteRate,LegendRate,BossFlag
MAP_FACTORY_001,MAP_FACTORY,0,Early,8,1.25,0.03,0.01,0,N
MAP_FACTORY_002,MAP_FACTORY,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_FACTORY_003,MAP_FACTORY,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_FACTORY_004,MAP_FACTORY,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_FACTORY_005,MAP_FACTORY,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_FACTORY_006,MAP_FACTORY,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_FACTORY_007,MAP_FACTORY,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_FACTORY_008,MAP_FACTORY,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_FACTORY_009,MAP_FACTORY,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_FACTORY_010,MAP_FACTORY,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_FACTORY_011,MAP_FACTORY,150,Mid,34.62,1,0.113,0.072,0,N
MAP_FACTORY_012,MAP_FACTORY,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_FACTORY_013,MAP_FACTORY,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_FACTORY_014,MAP_FACTORY,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_FACTORY_015,MAP_FACTORY,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_FACTORY_016,MAP_FACTORY,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_FACTORY_017,MAP_FACTORY,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_FACTORY_018,MAP_FACTORY,255,Mid,65.31,0.82,0.172,0.116,0,N
MAP_FACTORY_019,MAP_FACTORY,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_FACTORY_020,MAP_FACTORY,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_FACTORY_021,MAP_FACTORY,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_FACTORY_022,MAP_FACTORY,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_FACTORY_023,MAP_FACTORY,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_FACTORY_024,MAP_FACTORY,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_FACTORY_025,MAP_FACTORY,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_FACTORY_026,MAP_FACTORY,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_FACTORY_027,MAP_FACTORY,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_FACTORY_028,MAP_FACTORY,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_FACTORY_029,MAP_FACTORY,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_FACTORY_030,MAP_FACTORY,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_FACTORY_031,MAP_FACTORY,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_FACTORY_032,MAP_FACTORY,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_FACTORY_033,MAP_FACTORY,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_FACTORY_034,MAP_FACTORY,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_FACTORY_035,MAP_FACTORY,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_FACTORY_036,MAP_FACTORY,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_FACTORY_037,MAP_FACTORY,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_FACTORY_038,MAP_FACTORY,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_FACTORY_039,MAP_FACTORY,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_FACTORY_040,MAP_FACTORY,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_FACTORY_041,MAP_FACTORY,600,End,238,0.25,0.35,0.18,0.05,Y
MAP_VAULT_001,MAP_VAULT,0,Early,8,1.25,0.03,0.01,0,N
MAP_VAULT_002,MAP_VAULT,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_VAULT_003,MAP_VAULT,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_VAULT_004,MAP_VAULT,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_VAULT_005,MAP_VAULT,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_VAULT_006,MAP_VAULT,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_VAULT_007,MAP_VAULT,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_VAULT_008,MAP_VAULT,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_VAULT_009,MAP_VAULT,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_VAULT_010,MAP_VAULT,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_VAULT_011,MAP_VAULT,150,Mid,34.62,1,0.113,0.072,0,N
MAP_VAULT_012,MAP_VAULT,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_VAULT_013,MAP_VAULT,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_VAULT_014,MAP_VAULT,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_VAULT_015,MAP_VAULT,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_VAULT_016,MAP_VAULT,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_VAULT_017,MAP_VAULT,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_VAULT_018,MAP_VAULT,255,Mid,65.31,0.82,0.172,0.116,0,N
MAP_VAULT_019,MAP_VAULT,270,Mid,70.5,0.8,0.18,0.122,0,N
MAP_VAULT_020,MAP_VAULT,285,Mid,75.9,0.78,0.188,0.129,0,N
MAP_VAULT_021,MAP_VAULT,300,Late,81.5,0.75,0.197,0.135,0,Y
MAP_VAULT_022,MAP_VAULT,315,Late,87.3,0.72,0.205,0.141,0.003,N
MAP_VAULT_023,MAP_VAULT,330,Late,93.3,0.7,0.213,0.148,0.005,N
MAP_VAULT_024,MAP_VAULT,345,Late,99.51,0.68,0.222,0.154,0.007,N
MAP_VAULT_025,MAP_VAULT,360,Late,105.92,0.65,0.23,0.16,0.01,N
MAP_VAULT_026,MAP_VAULT,375,Late,112.53,0.62,0.238,0.166,0.013,N
MAP_VAULT_027,MAP_VAULT,390,Late,119.34,0.6,0.247,0.173,0.015,N
MAP_VAULT_028,MAP_VAULT,405,Late,126.36,0.57,0.255,0.179,0.018,N
MAP_VAULT_029,MAP_VAULT,420,Late,133.58,0.55,0.263,0.18,0.02,N
MAP_VAULT_030,MAP_VAULT,435,Late,141,0.53,0.272,0.18,0.022,N
MAP_VAULT_031,MAP_VAULT,450,Late,148.62,0.5,0.28,0.18,0.025,N
MAP_VAULT_032,MAP_VAULT,465,Late,156.45,0.47,0.288,0.18,0.028,N
MAP_VAULT_033,MAP_VAULT,480,End,166.48,0.45,0.297,0.18,0.03,N
MAP_VAULT_034,MAP_VAULT,495,End,174.71,0.43,0.305,0.18,0.033,N
MAP_VAULT_035,MAP_VAULT,510,End,183.14,0.4,0.313,0.18,0.035,N
MAP_VAULT_036,MAP_VAULT,525,End,191.78,0.38,0.322,0.18,0.037,N
MAP_VAULT_037,MAP_VAULT,540,End,200.62,0.35,0.33,0.18,0.04,N
MAP_VAULT_038,MAP_VAULT,555,End,209.66,0.32,0.338,0.18,0.043,N
MAP_VAULT_039,MAP_VAULT,570,End,218.91,0.3,0.347,0.18,0.045,N
MAP_VAULT_040,MAP_VAULT,585,End,228.35,0.28,0.35,0.18,0.048,N
MAP_VAULT_041,MAP_VAULT,600,End,238,0.25,0.35,0.18,0.05,Y
MAP_FREEZER_001,MAP_FREEZER,0,Early,8,1.25,0.03,0.01,0,N
MAP_FREEZER_002,MAP_FREEZER,15,Early,9.75,1.23,0.038,0.016,0,N
MAP_FREEZER_003,MAP_FREEZER,30,Early,11.71,1.2,0.047,0.022,0,N
MAP_FREEZER_004,MAP_FREEZER,45,Early,13.86,1.18,0.055,0.029,0,N
MAP_FREEZER_005,MAP_FREEZER,60,Early,16.22,1.15,0.063,0.035,0,N
MAP_FREEZER_006,MAP_FREEZER,75,Early,18.78,1.12,0.072,0.041,0,N
MAP_FREEZER_007,MAP_FREEZER,90,Early,21.54,1.1,0.08,0.048,0,N
MAP_FREEZER_008,MAP_FREEZER,105,Early,24.51,1.07,0.088,0.054,0,N
MAP_FREEZER_009,MAP_FREEZER,120,Mid,27.68,1.05,0.097,0.06,0,N
MAP_FREEZER_010,MAP_FREEZER,135,Mid,31.05,1.02,0.105,0.066,0,N
MAP_FREEZER_011,MAP_FREEZER,150,Mid,34.62,1,0.113,0.072,0,N
MAP_FREEZER_012,MAP_FREEZER,165,Mid,38.4,0.97,0.122,0.079,0,N
MAP_FREEZER_013,MAP_FREEZER,180,Mid,42.38,0.95,0.13,0.085,0,N
MAP_FREEZER_014,MAP_FREEZER,195,Mid,46.56,0.93,0.138,0.091,0,N
MAP_FREEZER_015,MAP_FREEZER,210,Mid,50.95,0.9,0.147,0.097,0,N
MAP_FREEZER_016,MAP_FREEZER,225,Mid,55.53,0.88,0.155,0.104,0,N
MAP_FREEZER_017,MAP_FREEZER,240,Mid,60.32,0.85,0.163,0.11,0,N
MAP_FREEZER_018,MAP_FREEZER,255,Mid,65.31,0.82,0.172,0.116,0,N
