TaskID,Name,Type,GoalValue,RewardType,RewardValue,Tier,StarterTask,Description,Tag
TASK_001,Kill任务 001,Kill,10,Gold|Core|Meta,20,1,1,完成条件示意 Kill,TAG_TASK_Kill
TASK_002,Build任务 002,Build,15,Gold|Core|Meta,22,2,1,完成条件示意 Build,TAG_TASK_Build
TASK_003,Boss任务 003,Boss,20,Gold|Core|Meta,24,3,1,完成条件示意 Boss,TAG_TASK_Boss
TASK_004,Economy任务 004,Economy,25,Gold|Core|Meta,26,1,1,完成条件示意 Economy,TAG_TASK_Economy
TASK_005,Combo任务 005,Combo,30,Gold|Core|Meta,28,2,1,完成条件示意 Combo,TAG_TASK_Combo
TASK_006,Facility任务 006,Facility,35,Gold|Core|Meta,30,3,1,完成条件示意 Facility,TAG_TASK_Facility
TASK_007,Map任务 007,Map,40,Gold|Core|Meta,32,1,1,完成条件示意 Map,TAG_TASK_Map
TASK_008,Role任务 008,Role,10,Gold|Core|Meta,34,2,1,完成条件示意 Role,TAG_TASK_Role
TASK_009,Kill任务 009,Kill,15,Gold|Core|Meta,36,3,1,完成条件示意 Kill,TAG_TASK_Kill
TASK_010,Build任务 010,Build,20,Gold|Core|Meta,38,1,1,完成条件示意 Build,TAG_TASK_Build
TASK_011,Boss任务 011,Boss,25,Gold|Core|Meta,40,2,1,完成条件示意 Boss,TAG_TASK_Boss
TASK_012,Economy任务 012,Economy,30,Gold|Core|Meta,42,3,1,完成条件示意 Economy,TAG_TASK_Economy
TASK_013,Combo任务 013,Combo,35,Gold|Core|Meta,44,1,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_014,Facility任务 014,Facility,40,Gold|Core|Meta,46,2,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_015,Map任务 015,Map,10,Gold|Core|Meta,48,3,0,完成条件示意 Map,TAG_TASK_Map
TASK_016,Role任务 016,Role,15,Gold|Core|Meta,50,1,0,完成条件示意 Role,TAG_TASK_Role
TASK_017,Kill任务 017,Kill,20,Gold|Core|Meta,52,2,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_018,Build任务 018,Build,25,Gold|Core|Meta,54,3,0,完成条件示意 Build,TAG_TASK_Build
TASK_019,Boss任务 019,Boss,30,Gold|Core|Meta,56,1,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_020,Economy任务 020,Economy,35,Gold|Core|Meta,58,2,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_021,Combo任务 021,Combo,40,Gold|Core|Meta,60,3,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_022,Facility任务 022,Facility,10,Gold|Core|Meta,62,1,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_023,Map任务 023,Map,15,Gold|Core|Meta,64,2,0,完成条件示意 Map,TAG_TASK_Map
TASK_024,Role任务 024,Role,20,Gold|Core|Meta,66,3,0,完成条件示意 Role,TAG_TASK_Role
TASK_025,Kill任务 025,Kill,25,Gold|Core|Meta,68,1,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_026,Build任务 026,Build,30,Gold|Core|Meta,70,2,0,完成条件示意 Build,TAG_TASK_Build
TASK_027,Boss任务 027,Boss,35,Gold|Core|Meta,72,3,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_028,Economy任务 028,Economy,40,Gold|Core|Meta,74,1,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_029,Combo任务 029,Combo,10,Gold|Core|Meta,76,2,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_030,Facility任务 030,Facility,15,Gold|Core|Meta,78,3,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_031,Map任务 031,Map,20,Gold|Core|Meta,80,1,0,完成条件示意 Map,TAG_TASK_Map
TASK_032,Role任务 032,Role,25,Gold|Core|Meta,82,2,0,完成条件示意 Role,TAG_TASK_Role
TASK_033,Kill任务 033,Kill,30,Gold|Core|Meta,84,3,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_034,Build任务 034,Build,35,Gold|Core|Meta,86,1,0,完成条件示意 Build,TAG_TASK_Build
TASK_035,Boss任务 035,Boss,40,Gold|Core|Meta,88,2,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_036,Economy任务 036,Economy,10,Gold|Core|Meta,90,3,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_037,Combo任务 037,Combo,15,Gold|Core|Meta,92,1,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_038,Facility任务 038,Facility,20,Gold|Core|Meta,94,2,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_039,Map任务 039,Map,25,Gold|Core|Meta,96,3,0,完成条件示意 Map,TAG_TASK_Map
TASK_040,Role任务 040,Role,30,Gold|Core|Meta,98,1,0,完成条件示意 Role,TAG_TASK_Role
TASK_041,Kill任务 041,Kill,35,Gold|Core|Meta,100,2,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_042,Build任务 042,Build,40,Gold|Core|Meta,102,3,0,完成条件示意 Build,TAG_TASK_Build
TASK_043,Boss任务 043,Boss,10,Gold|Core|Meta,104,1,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_044,Economy任务 044,Economy,15,Gold|Core|Meta,106,2,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_045,Combo任务 045,Combo,20,Gold|Core|Meta,108,3,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_046,Facility任务 046,Facility,25,Gold|Core|Meta,110,1,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_047,Map任务 047,Map,30,Gold|Core|Meta,112,2,0,完成条件示意 Map,TAG_TASK_Map
TASK_048,Role任务 048,Role,35,Gold|Core|Meta,114,3,0,完成条件示意 Role,TAG_TASK_Role
TASK_049,Kill任务 049,Kill,40,Gold|Core|Meta,116,1,0,完成条件示意 Kill,TAG_TASK_Kill
TASK_050,Build任务 050,Build,10,Gold|Core|Meta,118,2,0,完成条件示意 Build,TAG_TASK_Build
TASK_051,Boss任务 051,Boss,15,Gold|Core|Meta,120,3,0,完成条件示意 Boss,TAG_TASK_Boss
TASK_052,Economy任务 052,Economy,20,Gold|Core|Meta,122,1,0,完成条件示意 Economy,TAG_TASK_Economy
TASK_053,Combo任务 053,Combo,25,Gold|Core|Meta,124,2,0,完成条件示意 Combo,TAG_TASK_Combo
TASK_054,Facility任务 054,Facility,30,Gold|Core|Meta,126,3,0,完成条件示意 Facility,TAG_TASK_Facility
TASK_055,Map任务 055,Map,35,Gold|Core|Meta,128,1,0,完成条件示意 Map,TAG_TASK_Map
